Feature,Importance
mileage 124184 km,34.091573407209665
mileage 184000 km,34.07226139453685
mileage 31040 km,34.03476937371684
mileage 53223 km,33.9962186396759
mileage 61648 km,33.9845150800022
mileage 246600 km,33.98209706523013
mileage 189259 km,33.97248175465756
mileage 61000 km,33.971399657641086
mileage 139452 km,33.962751791114115
mileage 34960 km,33.86061550885377
mileage 171928 km,33.84665643878269
model GL 320 bluetec,33.84665630888608
mileage 67066 km,33.841490375076056
mileage 306288 km,33.84081061816572
mileage 108025 km,33.816632702704105
model GTI,33.77657227181078
mileage 1200 km,33.77378533156414
mileage 70003 km,33.75743286333102
mileage 59158 km,33.735178034027925
mileage 67523 km,33.70293838298575
mileage 197923 km,33.695693566809126
mileage 140800 km,33.691087873222806
mileage 84414 km,33.68220001930669
mileage 70450 km,33.67131683217459
mileage 80568 km,33.66641224721444
mileage 31290 km,33.66419550541312
mileage 82114 km,33.66217477706701
mileage 168661 km,33.65090092130182
model Escape escape,33.642885225137256
mileage 30008 km,33.59767410925991
mileage 14000 km,33.58229308258165
model Santa FE sport,33.5039215398845
mileage 33122 km,33.5004402558119
mileage 82574 km,33.44149583839733
mileage 91283 km,33.436517030048726
mileage 127300 km,33.40368762234319
model Prius 1.5I,33.403687604945524
mileage 47286 km,33.26153300624919
mileage 3854 km,33.25566316899569
levy 870,33.24214895513164
mileage 30098 km,33.24214892428755
mileage 131782 km,33.15557480187587
mileage 69415 km,33.11262126337335
mileage 105461 km,33.09796008689832
mileage 56486 km,33.09206606251917
mileage 68235 km,33.07886048941608
mileage 25955 km,33.044987691727485
mileage 24372 km,33.03307505090758
mileage 106979 km,33.03291133040842
mileage 88771 km,33.03115641036206
mileage 194605 km,32.98460355400519
mileage 382746 km,32.97858593558899
mileage 107030 km,32.95833326032911
mileage 39071 km,32.95699049145753
mileage 85933 km,32.944732367355336
mileage 193754 km,32.931890765000425
mileage 60013 km,32.880507288646434
mileage 63200 km,32.83579400982336
model Camry SE,32.82221513886877
mileage 122302 km,32.79193275950852
mileage 52782 km,32.791499035361944
mileage 24817 km,32.76441110491312
mileage 240000 km,32.68308654903563
mileage 119986 km,32.672274710907324
mileage 116365 km,32.64402471909362
model Camry XV50,32.63336926930932
mileage 193280 km,32.63336916854402
mileage 20877 km,32.62351072428917
mileage 90336 km,32.62346454219862
mileage 63083 km,32.6233259960558
mileage 47692 km,32.57814374517219
mileage 82413 km,32.53022535133796
mileage 68941 km,32.523295883957736
mileage 23379 km,32.51709263622215
model Outlander xl,32.511331114720235
mileage 74674 km,32.47833143822525
mileage 70232 km,32.41437743576798
mileage 170040 km,32.391133554457724
mileage 43664 km,32.38750396623676
mileage 23779 km,32.362728101376675
mileage 8618 km,32.34604804815868
mileage 222222 km,32.34214555832075
mileage 50243 km,32.299875327007975
model Impreza,32.287817117129464
mileage 187312 km,32.276985951742006
mileage 26701 km,32.26795306794931
mileage 145329 km,32.24546709299649
levy 1132,32.23456161568007
model Patriot,32.2020791545456
mileage 113821 km,32.202079147305106
mileage 89747 km,32.20122666679738
mileage 69555 km,32.18596395564371
mileage 102118 km,32.1726536221627
mileage 243000 km,32.12590333724721
mileage 72629 km,32.1219045848611
mileage 263459 km,32.119726980444646
mileage 61098 km,32.05795142665021
mileage 96995 km,32.04719098984752
mileage 59077 km,32.04593365569721
mileage 240987 km,32.03861406313464
mileage 46686 km,32.02371600606089
mileage 110624 km,32.00960626407724
mileage 85139 km,31.993500392826792
mileage 29501 km,31.965431831905285
mileage 50552 km,31.963030007357126
mileage 111830 km,31.946707485108234
mileage 76800 km,31.928067841727696
mileage 25790 km,31.87952739739617
model Continental,31.879527296365534
mileage 80186 km,31.878415898116504
mileage 120000 km,31.863128281993816
mileage 102066 km,31.83961071301798
mileage 70220 km,31.83520965863906
mileage 92981 km,31.796283656484004
mileage 96792 km,31.793921216370872
mileage 119950 km,31.78314526872927
model GLE 450,31.771117490848965
mileage 29496 km,31.77029191165104
mileage 146098 km,31.765075891373353
model Ramcharger,31.757370899483195
mileage 113365 km,31.75194539619884
mileage 59408 km,31.736485205511546
mileage 57618 km,31.726018126342293
mileage 85320 km,31.672104149351387
mileage 134761 km,31.66370473672171
mileage 185699 km,31.662995947476205
mileage 30430 km,31.63608212466034
mileage 155797 km,31.614486911705054
mileage 333208 km,31.604691894148576
mileage 89109 km,31.604059132836813
mileage 39254 km,31.5532505939815
mileage 135200 km,31.541423354702566
mileage 142037 km,31.536555542499897
mileage 123923 km,31.520890554544202
mileage 149000 km,31.458981608262842
mileage 154314 km,31.453341736581056
mileage 137997 km,31.43375857968977
mileage 13362 km,31.42307564278205
mileage 73022 km,31.399085605384446
mileage 163200 km,31.39907483224609
mileage 93720 km,31.370080421104642
mileage 70941 km,31.36499604797038
mileage 48450 km,31.347266262309947
mileage 108177 km,31.346944594524
mileage 134904 km,31.327826530537457
model Edge,31.31984821412606
mileage 78836 km,31.3138018381162
mileage 106084 km,31.291626110383977
model E 350 w211,31.236957494472016
mileage 87568 km,31.207739038832056
model 435,31.170311977780706
mileage 67856 km,31.142675983476867
mileage 106642 km,31.121765935399047
mileage 60646 km,31.11890318803255
mileage 290235 km,31.115667416950995
mileage 117900 km,31.115148346132695
mileage 68286 km,31.03646839227939
mileage 50750 km,31.007250472995583
levy 345,30.994111091071318
mileage 130339 km,30.99116332789343
mileage 115450 km,30.90429982766516
mileage 418667 km,30.902929253775593
mileage 146740 km,30.86423022511075
mileage 102885 km,30.85961743256243
mileage 121639 km,30.834427464698535
mileage 110038 km,30.822662576426747
mileage 145896 km,30.817506000145524
mileage 41611 km,30.777861472682694
levy 1708,30.7582540167805
mileage 76364 km,30.75825393950373
mileage 42415 km,30.746457991091148
mileage 123198 km,30.723883715465778
mileage 122904 km,30.713535624266896
mileage 154587 km,30.683864867960082
mileage 117782 km,30.68214006027382
mileage 68811 km,30.677964378794748
mileage 108195 km,30.666480163912233
mileage 61398 km,30.64909606802093
mileage 74990 km,30.645160752823653
mileage 115573 km,30.64421235626992
mileage 43944 km,30.587533168616773
mileage 154782 km,30.570014427498915
levy 421,30.52548987008956
mileage 22915 km,30.525489804033153
mileage 57590 km,30.497474567726833
mileage 81014 km,30.46278637576721
model Jetta TDI,30.419415094738923
mileage 130180 km,30.41757191049914
mileage 132700 km,30.41084753662622
mileage 14074 km,30.394645651026
manufacturer VAZ,30.377690558728112
model Touareg,30.341628353858887
model Town and Country,30.33515776535604
mileage 145600 km,30.294901370387784
mileage 91200 km,30.29263977983799
mileage 91393 km,30.285260549188305
mileage 76224 km,30.282618190191005
mileage 47422 km,30.27541646095212
mileage 51604 km,30.25513567697733
mileage 51651 km,30.235418329788388
mileage 16042 km,30.213396757842002
mileage 169301 km,30.196054700819133
mileage 23184 km,30.194845955767452
model Eunos 500,30.184533105231495
model R 350 BLUETEC,30.158716439534878
mileage 74944 km,30.151200947604778
mileage 349288 km,30.137462035546555
mileage 152630 km,30.119634666428293
mileage 31470 km,30.090578370313214
mileage 64757 km,30.079965377274622
mileage 53811 km,30.07931635356021
mileage 154562 km,30.0654613306556
mileage 97700 km,30.05607243384716
mileage 110270 km,30.052912758401792
manufacturer CADILLAC,30.05038726772943
mileage 116770 km,30.033651387719416
mileage 66500 km,30.026833079393317
mileage 203338 km,30.026071262444727
mileage 49602 km,30.0114311890759
model Serena,29.995217651841838
mileage 88265 km,29.976604781802532
mileage 54752 km,29.944016312515007
model Sonata Hibrid,29.931186736617114
mileage 66776 km,29.923945147556022
mileage 70196 km,29.898478995184515
mileage 97589 km,29.88568122324844
mileage 11200 km,29.869107501312314
mileage 76121 km,29.851875830363607
mileage 45242 km,29.84868637698965
model Edix FR-v,29.820225744359533
mileage 95303 km,29.812732243550034
mileage 7632 km,29.76157120612664
mileage 129388 km,29.736685264915884
mileage 53528 km,29.713118462397475
mileage 117618 km,29.649898730947797
color Blue,29.64514504154647
mileage 76640 km,29.618285877280766
mileage 118133 km,29.613403637930976
mileage 104181 km,29.581625284372304
mileage 209072 km,29.578488881729374
mileage 31176 km,29.56928759200593
mileage 96093 km,29.564323655870414
model Ioniq,29.56083606196483
mileage 29450 km,29.56083603951254
mileage 150453 km,29.547715413055506
mileage 50015 km,29.51523842797046
mileage 117453 km,29.46805775566868
mileage 66340 km,29.4197483820308
mileage 128905 km,29.407517630287057
model SOUL,29.354236960382543
mileage 30177 km,29.341832552245943
mileage 100184 km,29.28784877982553
mileage 115000 km,29.26988829774577
mileage 123472 km,29.269642259893867
levy 893,29.25784837734757
mileage 377379 km,29.238025214058307
levy 1246,29.081708712884403
mileage 65035 km,29.060887524463396
mileage 126715 km,29.058950905722885
mileage 71500 km,29.011013559042624
model NX 300,28.996627231170514
model Leaf,28.995043739996902
mileage 99549 km,28.9950437359324
levy 115,28.995043727423795
mileage 60604 km,28.976745345403074
mileage 345405 km,28.95820455965484
levy 2195,28.92549169627716
mileage 77442 km,28.90367988646274
mileage 32114 km,28.885799495703196
model F-type,28.878729763000656
mileage 24984 km,28.878729760830378
model Outlander,28.84379765706683
mileage 102152 km,28.829139869760333
mileage 114389 km,28.82398122012677
mileage 115459 km,28.80748020518732
mileage 63618 km,28.746891139132703
mileage 175389 km,28.738623626623408
mileage 150400 km,28.734846020533585
model 550 M Packet,28.73344833971639
mileage 155465 km,28.733172392028113
mileage 104270 km,28.726495933760543
mileage 14813 km,28.72078676579746
mileage 46764 km,28.71600227860184
mileage 65863 km,28.660456766572633
mileage 169939 km,28.64697394139335
mileage 145832 km,28.621954547908825
mileage 91838 km,28.588199427302413
mileage 115131 km,28.582754954438055
mileage 132022 km,28.577488945920532
mileage 70005 km,28.49941506961902
mileage 79094 km,28.49165630244104
mileage 108259 km,28.48576493572367
levy 2067,28.47462523926172
mileage 91654 km,28.45856239063725
model Captiva,28.45432043957929
mileage 174043 km,28.451243726036314
mileage 51141 km,28.448998366770986
mileage 45710 km,28.448646894401747
mileage 116074 km,28.41821287161161
mileage 72366 km,28.409431104333155
mileage 126038 km,28.358727811668437
mileage 52710 km,28.356743906968457
mileage 93686 km,28.35645057635721
model 206,28.356450504710647
mileage 2642 km,28.3249725833798
mileage 63803 km,28.320363766044338
mileage 33575 km,28.281856165174048
mileage 128297 km,28.261337406742292
mileage 88836 km,28.229773685699097
mileage 121098 km,28.219918502529385
mileage 61551 km,28.21562094990591
mileage 4677 km,28.205737918494197
mileage 76989 km,28.187645418016395
mileage 114107 km,28.182963195622705
mileage 72073 km,28.128400846844258
mileage 55234 km,28.127661932578658
model Daimler,28.118462846525556
mileage 79496 km,28.104564791358293
mileage 53873 km,28.100041619171797
mileage 48536 km,28.06482624125157
mileage 167398 km,28.061047013410914
mileage 71194 km,28.050575565497137
mileage 213696 km,28.022443775720195
mileage 76398 km,28.014775504774725
mileage 12824 km,28.013143657103257
mileage 82819 km,27.95675634231578
mileage 42875 km,27.949436780160077
mileage 43514 km,27.948883797242804
mileage 125629 km,27.89147464837293
mileage 135965 km,27.88034453734617
model Fusion Titanium,27.85933272487524
mileage 354569 km,27.833742177171022
mileage 187909 km,27.83188869174987
mileage 517559 km,27.828765330724753
mileage 689476 km,27.828673166684297
mileage 96500 km,27.82252544793544
mileage 119150 km,27.775795738669256
mileage 97992 km,27.7483158976143
mileage 76550 km,27.741816717358105
mileage 127200 km,27.714367552032716
mileage 154045 km,27.714304759845483
mileage 125386 km,27.69943159017935
mileage 59700 km,27.69764853280194
mileage 20388 km,27.694813747936134
mileage 175788 km,27.687742589424648
mileage 73674 km,27.673774092635643
mileage 332077 km,27.66550415798823
mileage 85610 km,27.648425377655943
mileage 70087 km,27.636703511258965
mileage 151358 km,27.625841480544523
mileage 88070 km,27.604721671851763
mileage 326325 km,27.596087495950343
levy 790,27.546933904155097
mileage 35398 km,27.54520421439908
mileage 99616 km,27.50126801717174
mileage 195987 km,27.473305521406285
mileage 301707 km,27.466343012939447
mileage 40845 km,27.463698559610794
mileage 141603 km,27.446652677924902
mileage 90835 km,27.429280462883344
mileage 60651 km,27.37923026716906
mileage 279787 km,27.35109464664704
model 650,27.34933802766019
mileage 88203 km,27.348003377127437
mileage 78920 km,27.343198376430312
mileage 270874 km,27.340864462684042
mileage 126970 km,27.326048567190966
mileage 83000 km,27.32224160433058
mileage 166400 km,27.319999242010667
mileage 78305 km,27.310366251346327
model E 350 4 MATIC,27.299827012845324
mileage 37490 km,27.27718782521964
mileage 82014 km,27.263396362210212
mileage 158842 km,27.25770285443217
mileage 158280 km,27.2508666511517
mileage 252442 km,27.235175786607698
mileage 83897 km,27.215140637496763
mileage 123622 km,27.189569899604123
mileage 195069 km,27.17097068908078
model Corolla S,27.16782418870995
mileage 366869 km,27.150918843130352
model E 400,27.116670256129847
mileage 55948 km,27.103319501625506
mileage 118907 km,27.101705599843935
mileage 7430 km,27.09308721056268
levy 682,27.09308711426077
model 500 46 ml,27.076053178840315
mileage 154774 km,27.05292053121374
mileage 50195 km,27.04989784810979
mileage 147376 km,27.042908238525435
model A6 premium plus,27.02256188204315
mileage 176688 km,27.01924094562124
mileage 61257 km,27.011707926667093
mileage 68855 km,26.990481145700585
mileage 54496 km,26.972510766334608
mileage 2034 km,26.972509828514237
mileage 93470 km,26.962327946845946
mileage 186282 km,26.931044491340423
levy 426,26.90770438775842
mileage 237000 km,26.90410858564638
mileage 96088 km,26.840536511012353
mileage 154672 km,26.8341024237333
mileage 120696 km,26.83382253284708
mileage 100037 km,26.82285481639375
mileage 105157 km,26.82142852474727
mileage 63149 km,26.816378209566178
mileage 55718 km,26.806269033870944
mileage 68725 km,26.804880172289337
mileage 58776 km,26.796648627267476
mileage 79911 km,26.77943294245207
mileage 51930 km,26.759021256853625
mileage 79633 km,26.755828367327947
mileage 112200 km,26.68428707806654
mileage 43294 km,26.668729721758616
mileage 157612 km,26.661739777073524
mileage 8710 km,26.645360169461256
levy 1511,26.616503093683498
mileage 21328 km,26.588481677064358
mileage 152187 km,26.58474706200799
mileage 59974 km,26.57077283439311
levy 1286,26.562704598426762
mileage 156887 km,26.55189662942348
mileage 64270 km,26.545918461389142
mileage 52876 km,26.535893789793203
mileage 142016 km,26.526923399658365
mileage 147470 km,26.477283253000326
mileage 115193 km,26.477008370871154
mileage 73628 km,26.474884644192446
mileage 50100 km,26.46417760196877
mileage 53283 km,26.460626663050164
mileage 154258 km,26.441648680490133
mileage 24000 km,26.4123994608592
mileage 64464 km,26.403108402778248
mileage 87112 km,26.401572582251994
mileage 94307 km,26.386919982784665
mileage 89900 km,26.344547361845294
mileage 159382 km,26.343566313621317
mileage 16431 km,26.308306919383146
mileage 123833 km,26.30719854860811
mileage 10990 km,26.296039273468775
mileage 45220 km,26.281672130950568
mileage 140082 km,26.27999493314449
mileage 90823 km,26.278881859469603
mileage 42078 km,26.26150832302451
mileage 153536 km,26.259935759986764
mileage 28968 km,26.251825260520143
mileage 11971 km,26.242481006954755
manufacturer MINI,26.237942807464652
mileage 97129 km,26.23433320823165
model Camry SPORT,26.21528091637278
model Grandeur,26.19624446774258
mileage 60108 km,26.19097126069786
mileage 51787 km,26.185660315596966
mileage 86391 km,26.174653001662886
mileage 64500 km,26.13553879476438
mileage 109608 km,26.129971205062944
mileage 64459 km,26.128819820827413
mileage 289714 km,26.125986706105785
mileage 52349 km,26.12087319638957
mileage 95251 km,26.12020184196361
mileage 49145 km,26.115938087057085
mileage 159200 km,26.102309158466895
mileage 119552 km,26.101593153078433
mileage 99881 km,26.072360736851383
mileage 211512 km,26.05115586667734
mileage 51725 km,26.040664901675605
mileage 145474 km,25.998667320365037
mileage 71551 km,25.99707843040347
mileage 20000 km,25.951910117719294
mileage 74939 km,25.95069684112335
mileage 68961 km,25.94785425848044
mileage 55820 km,25.947253890700985
mileage 43300 km,25.946792069251057
mileage 195933 km,25.920769650565042
mileage 210758 km,25.91762238192604
mileage 178686 km,25.913979976495522
mileage 77300 km,25.906875174963506
model CLS 350 AMG,25.906875171969638
mileage 290000 km,25.881720359278663
mileage 22918 km,25.852085324051213
mileage 60762 km,25.84301264047583
mileage 37900 km,25.828666090545504
mileage 119635 km,25.8286227054909
mileage 57870 km,25.814434692064935
model Cruze LTZ,25.791800183518195
mileage 70829 km,25.764766838723045
mileage 27728 km,25.74654794326247
mileage 67165 km,25.70025088927256
mileage 41794 km,25.699924114685803
mileage 2598 km,25.652260261527402
mileage 64841 km,25.638321017600347
mileage 42819 km,25.631162787142873
model Rogue SPORT,25.605636200955352
mileage 274981 km,25.59535048588631
mileage 140013 km,25.564004757082536
mileage 39031 km,25.5547410282079
mileage 71638 km,25.553534860574175
model X1 4X4,25.547789721728265
mileage 47736 km,25.54770658965821
mileage 47301 km,25.53231238471491
mileage 125890 km,25.515763574603337
levy 614,25.509226503509616
mileage 52686 km,25.50274607938594
mileage 105924 km,25.494617660983934
mileage 78926 km,25.49308964707528
mileage 122856 km,25.490898084355297
mileage 77016 km,25.488332001743604
mileage 207005 km,25.48555091823466
mileage 94600 km,25.475924447521205
mileage 150747 km,25.472766360880346
mileage 105235 km,25.458584927879382
mileage 148958 km,25.444850358600753
mileage 4494 km,25.440047590120905
mileage 156645 km,25.43358469836018
mileage 174101 km,25.430370294415248
mileage 120456 km,25.426654683245662
mileage 107358 km,25.40996485652531
mileage 60517 km,25.40853213052483
mileage 90029 km,25.399215836147548
mileage 63433 km,25.395100754513198
mileage 136292 km,25.357833882732983
mileage 111930 km,25.349029781076528
mileage 208000 km,25.338428683195414
mileage 119926 km,25.335765137782893
mileage 68243 km,25.334648118919866
mileage 164593 km,25.32170654724678
mileage 33261 km,25.320092313597467
mileage 59197 km,25.31150243757624
mileage 236198 km,25.30793764560705
mileage 74053 km,25.306354644854935
mileage 120581 km,25.303984682856147
mileage 132749 km,25.301957078734254
mileage 79200 km,25.288638206215094
levy 1171,25.288638203242442
mileage 110439 km,25.287636518835004
model CX-5,25.284857783845386
mileage 28515 km,25.28049553332854
mileage 111280 km,25.27606046453362
mileage 60720 km,25.23911827675193
model Camry XSE,25.2259388841329
mileage 65840 km,25.223013267527794
mileage 240250 km,25.21679209810003
mileage 150259 km,25.21609187106025
mileage 97614 km,25.206096286696997
mileage 115633 km,25.202874276057383
mileage 210450 km,25.191473382165295
mileage 88585 km,25.184735932202607
mileage 78771 km,25.110108627858565
mileage 104022 km,25.091631019119937
mileage 43873 km,25.08840816370743
mileage 56629 km,25.075528799102592
mileage 55751 km,25.065505023955136
mileage 49774 km,25.04526320342926
mileage 127549 km,25.029250142361594
mileage 1280 km,25.027572406248662
mileage 122566 km,25.02477698350161
mileage 89500 km,25.01833972332134
mileage 22500 km,24.978175625477835
mileage 64723 km,24.963977348273144
mileage 73938 km,24.946207628095944
mileage 75054 km,24.94164661350661
mileage 76403 km,24.918363153262717
mileage 153000 km,24.914882882523706
mileage 78475 km,24.911253738774448
mileage 83424 km,24.911207426132925
mileage 4565 km,24.893057197296596
mileage 56557 km,24.880814574957217
mileage 11469 km,24.871793726460364
mileage 130039 km,24.85255859120198
mileage 51440 km,24.84605300112835
mileage 208267 km,24.785777448573405
mileage 236267 km,24.781217545171724
mileage 128341 km,24.74541815768485
mileage 112843 km,24.739554661772637
mileage 47208 km,24.7253971599223
mileage 104776 km,24.70043245702434
mileage 88108 km,24.696457745875176
mileage 81256 km,24.694525455757486
mileage 131179 km,24.689576921210882
mileage 321890 km,24.68146845269216
mileage 189194 km,24.66150984913741
mileage 83466 km,24.659027137507355
mileage 104918 km,24.640482576720263
mileage 10782 km,24.6383210280945
levy 521,24.62251572218041
mileage 243051 km,24.608262926828317
mileage 78222 km,24.606207810651735
mileage 121362 km,24.589587830310236
mileage 47533 km,24.587752361854314
mileage 93170 km,24.576265161450483
mileage 127637 km,24.568532782367843
mileage 133408 km,24.561650709569673
mileage 121800 km,24.559310350695977
mileage 230397 km,24.55173158155016
mileage 132528 km,24.527234054098003
mileage 125126 km,24.510176897138166
mileage 126043 km,24.50768572574907
mileage 221688 km,24.493091194222526
model X-Trail,24.4855223332128
model E 320,24.47713804116368
mileage 376000 km,24.47713801348383
mileage 108900 km,24.473147553196135
model Impreza WRX/STI LIMITED,24.468990946180536
mileage 134598 km,24.459651773015693
mileage 132023 km,24.457547262174387
model FIT ex,24.446308199083617
mileage 148210 km,24.442805793760176
mileage 107387 km,24.419247624874103
mileage 54216 km,24.4143690090896
mileage 129013 km,24.41156553304521
mileage 122950 km,24.409533738911275
mileage 90043 km,24.40704429511034
mileage 59733 km,24.3942237079425
model A 190,24.368505114344963
model Jetta se,24.33886527582957
mileage 59897 km,24.334963625829392
mileage 207587 km,24.33300996182885
mileage 94415 km,24.327963884835288
mileage 71340 km,24.318370431349724
mileage 227902 km,24.299970461972876
mileage 69012 km,24.295419641441722
mileage 214184 km,24.294317674093403
mileage 207544 km,24.293389203791968
mileage 106616 km,24.282296027441785
mileage 115934 km,24.281696962667226
mileage 112483 km,24.276462312421607
mileage 64003 km,24.23198703310942
mileage 75644 km,24.22772916822845
mileage 133687 km,24.224816612884727
levy 641,24.206307204199863
mileage 89315 km,24.199371758236797
mileage 59647 km,24.1865807705908
mileage 157211 km,24.182884013890845
model Focus Titanium,24.17913817407044
mileage 174923 km,24.178318728646783
mileage 111166 km,24.178230773650334
mileage 28784 km,24.16643887439768
mileage 155058 km,24.15889089664038
mileage 45680 km,24.15366757626396
mileage 136861 km,24.128129307167573
mileage 176437 km,24.126465401771995
mileage 81665 km,24.12275227052059
mileage 35314 km,24.096258737558593
mileage 100856 km,24.093208852059732
mileage 237206 km,24.082521940943383
levy 965,24.081168584893867
mileage 64600 km,24.07135585261075
mileage 9422 km,24.05771820360608
model HS 250h,24.048985627515233
mileage 113053 km,24.048120203952102
mileage 54549 km,24.03353288945284
mileage 132742 km,24.020515250382235
mileage 140885 km,24.017651694246062
mileage 52418 km,24.011334598172166
mileage 185482 km,24.00503023477512
mileage 113600 km,23.988585630879673
model Land Rover Sport,23.98682899271792
mileage 56503 km,23.981901420468045
mileage 211643 km,23.972164373758094
mileage 45691 km,23.969420828191804
mileage 52303 km,23.966894168089283
mileage 95219 km,23.944475609147553
levy 1578,23.930676398795935
mileage 56746 km,23.930248131590492
model Elantra i30,23.92139047457131
mileage 7971 km,23.916480726331407
mileage 70066 km,23.91633370743041
mileage 140632 km,23.914560292092258
mileage 98841 km,23.901902300546002
mileage 77483 km,23.882133260617486
mileage 36261 km,23.875942172011566
mileage 259066 km,23.868124922775174
mileage 229003 km,23.860848003041934
model Passat sport,23.827714997521042
mileage 152847 km,23.815767071566846
mileage 61785 km,23.80877641863742
mileage 173925 km,23.807343564590898
mileage 96893 km,23.803081497888584
mileage 144333 km,23.802048630876325
mileage 112718 km,23.781368291082124
mileage 32066 km,23.764052796262803
mileage 92825 km,23.69478190076998
mileage 207694 km,23.689244999596614
mileage 77434 km,23.68437388728252
mileage 91478 km,23.66397334521025
mileage 101526 km,23.652375755631624
mileage 67486 km,23.65184638032011
mileage 193013 km,23.634179356870604
mileage 97081 km,23.59748252926484
mileage 147718 km,23.58538070897386
mileage 190330 km,23.583900524227758
mileage 132421 km,23.583399187062508
mileage 76885 km,23.56823468795416
mileage 117436 km,23.559912973859635
mileage 193895 km,23.55375195437471
mileage 61297 km,23.540911540415337
mileage 275530 km,23.53582493806659
mileage 118848 km,23.52898342936168
mileage 47221 km,23.492948927140237
mileage 31691 km,23.48382009018652
mileage 60709 km,23.48182966743774
mileage 152859 km,23.45929265061229
mileage 117466 km,23.451109718792864
mileage 200755 km,23.436369156499158
mileage 64160 km,23.427670122638293
mileage 104685 km,23.425962660207787
levy 1016,23.416462951990624
mileage 27083 km,23.409292700788193
mileage 85746 km,23.39508929771591
mileage 157859 km,23.39386374177495
mileage 100230 km,23.380432153089792
mileage 45525 km,23.280786707020997
mileage 202637 km,23.274940292668692
mileage 48738 km,23.268794039806238
model Skyline,23.256281734735744
mileage 35607 km,23.242402632102404
mileage 107166 km,23.22578067150262
mileage 77200 km,23.212913249533514
mileage 163401 km,23.21045317836131
mileage 38624 km,23.198057156207955
mileage 139125 km,23.188597176147194
model Renegade,23.17720855489654
mileage 69813 km,23.17087436560977
mileage 200925 km,23.16590181023948
mileage 61506 km,23.160723527277366
model NEW Beetle,23.149428245119
mileage 112219 km,23.128525680947135
mileage 279722 km,23.122608305753943
mileage 76462 km,23.116365558755216
model C 250 1.8,23.11631455075084
mileage 83500 km,23.116314456197127
manufacturer LINCOLN,23.113036825359952
mileage 114885 km,23.094276257159688
mileage 112123 km,23.076011430709837
mileage 63570 km,23.06402026174887
mileage 168315 km,23.060994208239833
manufacturer HAVAL,23.04806455304999
model H6,23.04806454205895
mileage 40137 km,23.038794670489878
mileage 133783 km,22.99322491609912
mileage 142426 km,22.956640872461314
mileage 54472 km,22.90951693661163
mileage 353774 km,22.90739475185487
mileage 154850 km,22.90615196645772
mileage 149476 km,22.90513170922357
mileage 171382 km,22.89427584280223
mileage 83902 km,22.87896941444034
mileage 399906 km,22.865218530398636
mileage 1000 km,22.861493690465846
mileage 60660 km,22.851825926631427
mileage 211344 km,22.848044037013675
mileage 89896 km,22.838546596761475
mileage 112701 km,22.829715669936782
levy 1190,22.782817310457837
mileage 60480 km,22.772301072306664
mileage 104674 km,22.768516854165565
mileage 33355 km,22.76583828913564
mileage 31139 km,22.741348521175006
mileage 78837 km,22.719025331483937
mileage 256878 km,22.71604088743461
mileage 107637 km,22.70876815715737
mileage 81351 km,22.70864132321032
mileage 76553 km,22.707915317649555
mileage 220800 km,22.706356200898487
mileage 90200 km,22.69120777491248
mileage 531500 km,22.69032137493367
mileage 74277 km,22.686845585113428
mileage 85241 km,22.672374932236533
mileage 70782 km,22.672192318506127
mileage 142224 km,22.660700301164606
mileage 239179 km,22.659355134588154
mileage 78579 km,22.65885054496961
mileage 77251 km,22.625117014349552
mileage 67122 km,22.606456545056286
model FX35,22.594209561225274
mileage 177523 km,22.59415408065382
mileage 87862 km,22.589981287327237
mileage 199596 km,22.5898639811156
mileage 105949 km,22.564546305828213
mileage 72052 km,22.563470964212
mileage 93493 km,22.532667096664643
mileage 251514 km,22.512859228195172
mileage 320000 km,22.508420917945855
mileage 50079 km,22.498750971037587
mileage 364523 km,22.48426290586155
mileage 222016 km,22.444152024241927
mileage 55248 km,22.442615654301477
mileage 82602 km,22.434149126164275
mileage 66067 km,22.423167465276048
mileage 75656 km,22.412449036135424
mileage 70414 km,22.400884070700975
mileage 80819 km,22.396983704342485
mileage 46053 km,22.38258678840729
mileage 107846 km,22.36665025653629
mileage 141799 km,22.353134392760314
mileage 196000 km,22.346950304709143
mileage 97440 km,22.341145838491386
mileage 281659 km,22.324143584318186
mileage 135800 km,22.32254901588369
mileage 230746 km,22.32123332822129
model Countryman S turbo,22.31565847795372
mileage 238995 km,22.30425016486772
mileage 248570 km,22.29857319911463
mileage 47504 km,22.294156347878644
mileage 119884 km,22.292716371190927
levy 603,22.270514940345148
mileage 43740 km,22.269979875039965
mileage 259385 km,22.256298596685397
mileage 158400 km,22.247612033787956
mileage 124892 km,22.210558951355573
mileage 32104 km,22.207813491472024
mileage 30068 km,22.205061497106197
model A5,22.200855207198476
mileage 112760 km,22.197661760147525
mileage 155590 km,22.18423798859146
mileage 21090 km,22.172778494906023
mileage 10392 km,22.166317168914468
mileage 114929 km,22.1573216461139
mileage 118240 km,22.14863706570832
mileage 203770 km,22.11858223053712
mileage 164600 km,22.075003473576515
mileage 53114 km,22.072484906311324
mileage 115507 km,22.058446526083227
mileage 158438 km,22.00496198961561
mileage 58769 km,21.99505962373024
mileage 121699 km,21.989729983323073
mileage 250491 km,21.97808578268032
mileage 141213 km,21.965747331620893
mileage 236539 km,21.962628149501036
mileage 7518 km,21.957888819911695
mileage 137213 km,21.951212964385753
mileage 105989 km,21.945992244504556
mileage 153958 km,21.935303800574733
mileage 29308 km,21.93219469194102
