Feature,Importance
mileage 133195 km,236.05765494893342
mileage 91000 km,234.27327874580533
model Focus,233.35581312094607
mileage 9626 km,231.99175631083983
mileage 140000 km,227.70447650826367
levy 629,226.92037300747268
model Accord,226.90668784072167
levy 1055,225.59051732307137
mileage 44995 km,224.31109830704682
mileage 97826 km,224.0649575320766
mileage 180659 km,223.88254299887785
mileage 273962 km,223.3662794755527
levy 431,222.83732696820007
mileage 179381 km,222.69598621419786
model Mustang,219.1428845470917
model Camry XLE,218.6554529451306
levy 1277,218.64710911290635
mileage 107800 km,217.9464028442122
model 1000,215.28158643101227
mileage 43000 km,214.02576316438223
mileage 85000 km,211.7711505762953
model Sprinter,210.64602836153702
color Beige,207.5905218097176
mileage 263190 km,205.2707628111494
mileage 265210 km,205.1052056714468
mileage 401128 km,204.50569116268142
model A6,204.05342215209293
levy 1275,204.01450325532673
mileage 135000 km,203.75562290815847
levy 1273,203.53559741771787
mileage 154115 km,202.44412196788798
mileage 35874 km,202.3784912266668
mileage 190000 km,202.29005253385603
mileage 44477 km,200.72543520582252
mileage 125358 km,200.2952615646567
mileage 87000 km,199.2426637990326
levy 1327,198.937619969533
mileage 140966 km,198.62346291712686
mileage 101000 km,195.81848944888242
category Cabriolet,195.63877786125303
levy 574,195.61956126541534
mileage 45000 km,195.26107805309363
mileage 150909 km,194.75216515904074
model Avalon,194.30095622850538
mileage 132349 km,193.70654258123773
model CX-9,192.97062404827642
mileage 128202 km,191.60248366382285
mileage 165000 km,190.62998106104658
mileage 71000 km,190.29434801201094
mileage 59000 km,188.50436945463383
mileage 264014 km,187.8617765967059
category Microbus,185.2203193383589
model 428,184.2970979728844
mileage 145227 km,183.21481285623568
model I30,182.9860266746529
mileage 264339 km,182.89369630730212
levy 2151,182.89368818698227
model 328,182.29367043955867
color Silver,181.9285769299408
levy 1533,179.88815768842184
mileage 155200 km,178.81026108644
mileage 224629 km,178.49556168831614
levy 1405,178.3159762838625
mileage 106442 km,177.7126624244801
levy 502,177.2974783108286
manufacturer CHRYSLER,177.11538810726898
mileage 220323 km,177.03601633014384
levy 697,176.0443341062187
mileage 160000 km,176.03017080110519
model S 550,175.51410448375395
mileage 158000 km,175.08068239499957
model X6,172.9586649040504
model C-MAX,172.95183205915265
levy 1324,172.1611874452604
levy 530,171.40831109877448
mileage 88000 km,171.30910255016104
levy 1820,170.2782400918545
mileage 229854 km,169.99972128534856
mileage 71218 km,169.88018046426177
manufacturer PORSCHE,169.5828219480403
mileage 138038 km,168.53393444653605
levy 490,167.82810037640564
mileage 110958 km,166.93726207358094
levy 917,166.66032404884712
mileage 134000 km,166.4961063757813
model GL 450,166.48642495376407
mileage 43651 km,164.76050733955515
levy 1080,164.38684181110892
model 550,163.58381139718597
mileage 95349 km,163.4661739146384
mileage 189530 km,163.33314033104242
mileage 86000 km,161.88804165349572
mileage 81440 km,161.6244043930089
mileage 27000 km,161.5500896120368
mileage 52062 km,160.6839031565316
manufacturer JAGUAR,160.579991912449
model ES 300,160.1325601920395
model SX4,159.56290713819203
mileage 115347 km,159.39248110871975
model Fiesta,159.25142791938913
mileage 125000 km,159.23838272335513
model IS 250,159.18831359731334
mileage 65981 km,158.23078860136587
mileage 103458 km,158.13208472816072
mileage 277856 km,157.12551438424
mileage 205250 km,157.0280732186738
levy 481,156.94566488242245
mileage 274098 km,156.48808011349254
mileage 239342 km,156.19113003043125
mileage 181997 km,155.6093794179941
doors 04-May,154.54722216155588
mileage 55704 km,153.79837687735792
levy 1537,153.52597156449846
model Yaris,152.82022929054727
mileage 243467 km,150.96985327714773
model Sentra,150.71045336708738
mileage 200402 km,150.54361407685832
mileage 68000 km,150.52216738713008
mileage 398069 km,150.0551551153039
mileage 64994 km,149.4184093743078
levy 832,149.41840883814953
levy 1869,149.21268588801095
mileage 46413 km,148.34513805715116
mileage 193614 km,148.28118263286177
levy 777,148.04949609768934
mileage 158870 km,147.6686205082582
mileage 106000 km,147.47006920871166
mileage 89000 km,147.35864635777216
mileage 166560 km,147.22230731239213
levy 517,147.22230689480938
model Grand Cherokee,147.08998401198542
mileage 204579 km,146.85259181585832
mileage 174106 km,146.80156497291907
category Pickup,146.3413547064549
